09:42 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;9:42:1
Dworzec Główny;9:43:49
Basztowa LOT;9:45:33
Teatr Bagatela;9:47:43
Filharmonia;9:50:11
;
09:35 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;9:35:1
Plac Inwalidów;9:36:38
Batorego;9:37:48
Teatr Bagatela;9:39:14
Basztowa LOT;9:41:9
Dworzec Główny;9:42:55
Lubicz;9:44:37
Rondo Mogilskie;9:47:12
Rondo Grzegórzeckie;9:50:18
Teatr Variete;9:51:1
Francesco Nullo;9:51:57
;
09:38 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;9:38:1
Stradom;9:39:6
Wawel;9:41:0
Poczta Główna;9:43:20
Dworzec Główny;9:45:55
Lubicz;9:47:38
Rondo Mogilskie;9:50:17
Cystersów;9:52:23
;
09:38 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;9:38:1
Rondo Mogilskie;9:40:0
Lubicz;9:42:11
Dworzec Główny;9:44:24
Basztowa LOT;9:46:8
Teatr Bagatela;9:48:18
Batorego;9:50:9
Plac Inwalidów;9:51:9
Urzędnicza;9:52:45
;
09:46 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:46:1
Politechnika;9:48:33
Dworzec Główny Zachód;9:49:40
Dworzec Główny;9:50:41
;
09:40 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:40:1
Stradom;9:41:4
Wawel;9:42:59
Świętej Gertrudy;9:44:22
Plac Wszystkich Świętych;9:45:48
Filharmonia;9:46:56
Teatr Bagatela;9:48:56
Batorego;9:50:42
Plac Inwalidów;9:51:41
Urzędnicza;9:53:19
;
09:43 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;9:43:1
Rondo Mogilskie;9:45:46
Rondo Grzegórzeckie;9:49:1
Hala Targowa;9:50:56
Starowiślna;9:51:52
Miodowa;9:53:42
;
09:41 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:41:1
Plac Inwalidów;9:42:45
Batorego;9:43:52
Teatr Bagatela;9:45:14
Filharmonia;9:47:33
Plac Wszystkich Świętych;9:49:4
Świętej Gertrudy;9:50:32
Wawel;9:51:56
Stradom;9:52:56
Plac Wolnica;9:54:31
;
09:47 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;9:47:1
Filharmonia;9:48:46
Teatr Bagatela;9:51:3
Basztowa LOT;9:53:22
Dworzec Główny;9:55:0
Lubicz;9:56:39
;
09:40 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:40:1
Nowy Kleparz;9:41:2
Pędzichów;9:42:38
Basztowa LOT;9:43:44
Teatr Bagatela;9:45:38
Filharmonia;9:48:14
Plac Wszystkich Świętych;9:49:52
Świętej Gertrudy;9:51:15
Wawel;9:52:40
Orzeszkowej;9:55:5
Centrum Kongresowe ICE;9:56:43
;
09:45 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;9:45:1
Orzeszkowej;9:46:39
Stradom;9:47:35
Starowiślna;9:51:4
Hala Targowa;9:52:1
Rondo Grzegórzeckie;9:55:6
Teatr Variete;9:55:49
;
09:40 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:40:1
Orzeszkowej;9:41:40
Stradom;9:42:40
Wawel;9:44:8
Świętej Gertrudy;9:45:32
Plac Wszystkich Świętych;9:46:44
Filharmonia;9:47:49
Teatr Bagatela;9:50:18
Basztowa LOT;9:52:42
Pędzichów;9:54:20
Nowy Kleparz;9:55:45
Dworzec Towarowy;9:57:25
;
09:44 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;9:44:1
Plac Inwalidów;9:45:38
Batorego;9:46:46
Teatr Bagatela;9:48:11
Filharmonia;9:50:43
Plac Wszystkich Świętych;9:52:13
Świętej Gertrudy;9:53:37
Wawel;9:55:2
Stradom;9:55:59
Plac Wolnica;9:57:30
;
09:44 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;9:44:1
Stradom;9:45:4
Wawel;9:47:18
Świętej Gertrudy;9:48:43
Plac Wszystkich Świętych;9:49:57
Filharmonia;9:51:2
Teatr Bagatela;9:53:23
Batorego;9:55:7
Plac Inwalidów;9:56:6
Urzędnicza;9:57:43
;
09:46 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:46:1
Plac Inwalidów;9:47:39
Batorego;9:48:49
Teatr Bagatela;9:50:14
Basztowa LOT;9:52:9
Dworzec Główny;9:53:50
Lubicz;9:55:52
Rondo Mogilskie;9:58:31
;
09:48 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:48:1
Stradom;9:49:6
Wawel;9:50:55
Świętej Gertrudy;9:52:19
Plac Wszystkich Świętych;9:53:35
Filharmonia;9:54:40
Teatr Bagatela;9:56:45
Batorego;9:58:31
Plac Inwalidów;9:59:30
Urzędnicza;10:1:5
;
09:49 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;9:49:1
Miodowa;9:49:59
Starowiślna;9:52:4
Hala Targowa;9:53:0
Rondo Grzegórzeckie;9:56:23
Rondo Mogilskie;9:59:25
;
09:45 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:45:1
Teatr Variete;9:46:15
Rondo Grzegórzeckie;9:47:43
Rondo Mogilskie;9:49:56
Lubicz;9:51:58
Dworzec Główny;9:53:38
Basztowa LOT;9:55:21
Teatr Bagatela;9:57:29
Batorego;9:59:9
Plac Inwalidów;10:0:8
Urzędnicza;10:1:42
;
09:48 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:48:1
Plac Inwalidów;9:49:39
Batorego;9:50:48
Teatr Bagatela;9:52:12
Filharmonia;9:54:30
Plac Wszystkich Świętych;9:56:21
Świętej Gertrudy;9:57:51
Wawel;9:59:14
Stradom;10:0:11
Plac Wolnica;10:1:48
;
09:31 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:31:1
Politechnika;9:33:26
Dworzec Główny Zachód;9:34:31
Dworzec Główny;9:35:29
Poczta Główna;9:37:44
;
09:32 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:32:1
Dworzec Główny;9:34:6
Dworzec Główny Zachód;9:35:43
Politechnika;9:36:53
Dworzec Towarowy;9:38:58
;
09:30 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;9:30:2
Orzeszkowej;9:31:36
Stradom;9:32:30
Starowiślna;9:35:25
Hala Targowa;9:36:19
Rondo Grzegórzeckie;9:39:19
Teatr Variete;9:40:2
;
09:32 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;9:32:1
Filharmonia;9:33:42
Teatr Bagatela;9:35:45
Basztowa LOT;9:37:45
Dworzec Główny;9:39:24
Lubicz;9:41:17
;
09:38 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:38:1
Politechnika;9:40:27
Dworzec Główny Zachód;9:41:34
Dworzec Główny;9:42:32
Poczta Główna;9:44:56
;
09:31 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:31:1
Plac Inwalidów;9:32:35
Batorego;9:33:41
Teatr Bagatela;9:35:2
Basztowa LOT;9:36:54
Dworzec Główny;9:38:31
Lubicz;9:40:31
Rondo Mogilskie;9:43:6
;
09:33 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:33:1
Stradom;9:34:3
Wawel;9:35:48
Świętej Gertrudy;9:37:9
Plac Wszystkich Świętych;9:38:22
Filharmonia;9:39:26
Teatr Bagatela;9:41:31
Batorego;9:43:13
Plac Inwalidów;9:44:12
Urzędnicza;9:45:47
;
09:39 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:39:1
Dworzec Główny;9:41:7
Dworzec Główny Zachód;9:42:45
Politechnika;9:43:55
Dworzec Towarowy;9:46:2
;
09:30 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:30:2
Teatr Variete;9:31:13
Rondo Grzegórzeckie;9:32:38
Rondo Mogilskie;9:34:45
Lubicz;9:36:42
Dworzec Główny;9:38:19
Basztowa LOT;9:40:0
Teatr Bagatela;9:42:6
Batorego;9:43:44
Plac Inwalidów;9:44:43
Urzędnicza;9:46:17
;
09:34 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:34:1
Teatr Variete;9:35:12
Rondo Grzegórzeckie;9:36:48
Hala Targowa;9:38:40
Starowiślna;9:39:35
Poczta Główna;9:41:12
Plac Wszystkich Świętych;9:43:39
Filharmonia;9:44:42
Jubilat;9:46:25
;
09:34 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;9:34:1
Miodowa;9:34:57
Starowiślna;9:36:57
Hala Targowa;9:37:51
Rondo Grzegórzeckie;9:41:21
Rondo Mogilskie;9:44:21
;
09:33 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:33:1
Plac Inwalidów;9:34:35
Batorego;9:35:41
Teatr Bagatela;9:37:2
Filharmonia;9:39:17
Plac Wszystkich Świętych;9:41:8
Świętej Gertrudy;9:42:33
Wawel;9:43:56
Stradom;9:44:53
Plac Wolnica;9:46:40
;
09:33 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:33:1
Rondo Mogilskie;9:34:55
Lubicz;9:37:12
Dworzec Główny;9:38:56
Poczta Główna;9:41:18
Starowiślna;9:42:42
Stradom;9:44:36
Orzeszkowej;9:45:52
;
09:36 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:36:1
Filharmonia;9:37:42
Plac Wszystkich Świętych;9:39:4
Poczta Główna;9:40:30
Starowiślna;9:42:37
Hala Targowa;9:43:30
Rondo Grzegórzeckie;9:46:34
Teatr Variete;9:47:18
;
09:38 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;9:38:1
Teatr Variete;9:39:13
Rondo Grzegórzeckie;9:40:49
Hala Targowa;9:42:42
Starowiślna;9:43:36
Stradom;9:45:50
Orzeszkowej;9:47:48
;
09:33 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:33:1
Orzeszkowej;9:34:35
Stradom;9:35:29
Wawel;9:36:56
Świętej Gertrudy;9:38:18
Plac Wszystkich Świętych;9:39:29
Filharmonia;9:40:31
Teatr Bagatela;9:42:56
Basztowa LOT;9:44:57
Pędzichów;9:46:29
Nowy Kleparz;9:47:55
Dworzec Towarowy;9:49:36
;
09:32 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:32:1
Nowy Kleparz;9:33:1
Pędzichów;9:34:27
Basztowa LOT;9:35:32
Teatr Bagatela;9:37:23
Filharmonia;9:40:18
Plac Wszystkich Świętych;9:41:47
Świętej Gertrudy;9:43:40
Wawel;9:45:3
Stradom;9:46:1
Orzeszkowej;9:48:16
Centrum Kongresowe ICE;9:49:55
;
09:37 - 24 (Bronowice - Kurdwanów);
Urzędnicza;9:37:1
Plac Inwalidów;9:38:36
Batorego;9:39:43
Teatr Bagatela;9:41:5
Basztowa LOT;9:42:58
Dworzec Główny;9:44:34
Poczta Główna;9:47:17
Starowiślna;9:48:49
Miodowa;9:50:22
;
09:36 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:36:1
Orzeszkowej;9:37:35
Stradom;9:38:30
Starowiślna;9:41:27
Poczta Główna;9:42:20
Dworzec Główny;9:44:18
Lubicz;9:45:56
Rondo Mogilskie;9:48:32
Cystersów;9:50:38
;
09:35 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;9:35:1
Plac Inwalidów;9:36:35
Batorego;9:37:41
Teatr Bagatela;9:39:4
Basztowa LOT;9:40:56
Dworzec Główny;9:42:34
Lubicz;9:44:14
Rondo Mogilskie;9:46:51
Rondo Grzegórzeckie;9:49:53
Teatr Variete;9:50:37
Francesco Nullo;9:51:33
;
09:38 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;9:38:1
Stradom;9:39:4
Wawel;9:40:49
Poczta Główna;9:42:53
Dworzec Główny;9:44:54
Lubicz;9:47:15
Rondo Mogilskie;9:49:40
;
09:38 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;9:38:1
Rondo Mogilskie;9:39:56
Lubicz;9:42:2
Dworzec Główny;9:43:41
Basztowa LOT;9:45:24
Teatr Bagatela;9:47:35
Batorego;9:49:15
Plac Inwalidów;9:50:16
Urzędnicza;9:51:53
;
09:01 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:1:1
Politechnika;9:3:53
Dworzec Główny Zachód;9:5:10
Dworzec Główny;9:6:20
Poczta Główna;9:9:13
;
09:02 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:2:1
Dworzec Główny;9:4:25
Dworzec Główny Zachód;9:6:35
Politechnika;9:7:56
Dworzec Towarowy;9:10:15
;
09:04 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;9:4:1
Rondo Mogilskie;9:7:30
;
09:02 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;9:2:1
Filharmonia;9:3:54
Teatr Bagatela;9:6:33
Basztowa LOT;9:8:56
Dworzec Główny;9:10:56
Lubicz;9:13:27
;
09:00 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;9:0:2
Orzeszkowej;9:1:48
Stradom;9:2:54
Starowiślna;9:6:44
Hala Targowa;9:7:49
Rondo Grzegórzeckie;9:12:35
Teatr Variete;9:13:30
Francesco Nullo;9:14:38
;
09:08 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:8:1
Politechnika;9:10:55
Dworzec Główny Zachód;9:12:13
Dworzec Główny;9:13:23
Poczta Główna;9:16:44
;
09:09 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:9:1
Dworzec Główny;9:11:28
Dworzec Główny Zachód;9:14:23
Politechnika;9:15:45
Dworzec Towarowy;9:18:4
;
09:01 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:1:1
Plac Inwalidów;9:2:47
Batorego;9:4:5
Teatr Bagatela;9:5:38
Basztowa LOT;9:7:52
Dworzec Główny;9:9:51
Lubicz;9:12:12
Rondo Mogilskie;9:15:52
Cystersów;9:18:7
;
09:03 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:3:1
Plac Inwalidów;9:4:47
Batorego;9:6:5
Teatr Bagatela;9:7:38
Filharmonia;9:10:21
Plac Wszystkich Świętych;9:12:6
Świętej Gertrudy;9:13:48
Wawel;9:15:23
Plac Wolnica;9:18:28
;
09:04 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:4:1
Teatr Variete;9:5:24
Rondo Grzegórzeckie;9:7:31
Hala Targowa;9:9:35
Starowiślna;9:10:43
Poczta Główna;9:12:53
Plac Wszystkich Świętych;9:15:25
Filharmonia;9:16:40
Jubilat;9:18:47
;
09:03 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:3:1
Stradom;9:4:15
Wawel;9:6:39
Świętej Gertrudy;9:8:12
Plac Wszystkich Świętych;9:9:48
Filharmonia;9:11:4
Teatr Bagatela;9:13:42
Batorego;9:15:58
Plac Inwalidów;9:17:9
Urzędnicza;9:18:54
;
09:04 - 9 (Nowy Bieżanów - Mistrzejowice);
Świętego Wawrzyńca;9:4:1
Miodowa;9:5:9
Starowiślna;9:7:50
Hala Targowa;9:8:56
Rondo Grzegórzeckie;9:13:31
Rondo Mogilskie;9:16:58
;
09:00 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:0:2
Teatr Variete;9:1:25
Rondo Grzegórzeckie;9:3:19
Rondo Mogilskie;9:5:44
Lubicz;9:8:8
Dworzec Główny;9:10:9
Basztowa LOT;9:12:49
Teatr Bagatela;9:15:20
Batorego;9:17:21
Plac Inwalidów;9:18:32
Urzędnicza;9:20:17
;
09:03 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:3:1
Rondo Mogilskie;9:5:7
Lubicz;9:7:21
Dworzec Główny;9:9:21
Poczta Główna;9:11:53
Stradom;9:16:20
Orzeszkowej;9:18:41
Centrum Kongresowe ICE;9:20:31
;
09:05 - 10 (Pleszów - Kurdwanów);
Cystersów;9:5:1
Rondo Mogilskie;9:7:7
Lubicz;9:9:22
Dworzec Główny;9:11:24
Poczta Główna;9:14:22
Świętej Gertrudy;9:16:47
Wawel;9:18:22
Plac Wolnica;9:21:32
;
09:02 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:2:1
Nowy Kleparz;9:3:13
Pędzichów;9:4:51
Basztowa LOT;9:6:8
Teatr Bagatela;9:8:22
Filharmonia;9:11:11
Plac Wszystkich Świętych;9:13:20
Świętej Gertrudy;9:15:23
Wawel;9:16:57
Orzeszkowej;9:20:6
;
09:08 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;9:8:1
Teatr Variete;9:9:25
Rondo Grzegórzeckie;9:12:8
Hala Targowa;9:14:12
Starowiślna;9:15:20
Stradom;9:18:49
Orzeszkowej;9:20:48
Centrum Kongresowe ICE;9:22:38
;
09:06 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:6:1
Filharmonia;9:7:54
Plac Wszystkich Świętych;9:9:39
Poczta Główna;9:11:26
Starowiślna;9:14:14
Hala Targowa;9:15:21
Rondo Grzegórzeckie;9:20:57
Teatr Variete;9:21:53
Francesco Nullo;9:23:1
;
09:03 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:3:1
Orzeszkowej;9:4:47
Stradom;9:5:53
Wawel;9:7:46
Świętej Gertrudy;9:9:20
Plac Wszystkich Świętych;9:10:56
Filharmonia;9:12:11
Teatr Bagatela;9:14:53
Basztowa LOT;9:17:16
Pędzichów;9:19:11
Nowy Kleparz;9:20:49
Dworzec Towarowy;9:23:16
;
09:07 - 24 (Bronowice - Kurdwanów);
Urzędnicza;9:7:1
Plac Inwalidów;9:8:47
Batorego;9:10:6
Teatr Bagatela;9:11:41
Basztowa LOT;9:13:56
Dworzec Główny;9:15:55
Poczta Główna;9:18:49
Starowiślna;9:20:56
Miodowa;9:23:23
;
09:16 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:16:1
Politechnika;9:18:59
Dworzec Główny Zachód;9:20:18
Dworzec Główny;9:21:29
Poczta Główna;9:24:28
;
09:06 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:6:1
Orzeszkowej;9:7:47
Stradom;9:8:53
Starowiślna;9:12:48
Poczta Główna;9:13:53
Dworzec Główny;9:16:18
Lubicz;9:18:55
Rondo Mogilskie;9:22:16
Cystersów;9:24:33
;
09:12 - 2 (Cmentarz Rakowicki - Salwator);
Lubicz;9:12:1
Dworzec Główny;9:14:6
Basztowa LOT;9:17:0
Teatr Bagatela;9:19:50
Filharmonia;9:22:45
Jubilat;9:24:51
;
09:05 - 19 (Borek Fałęcki - Dworzec Towarowy);
Świętego Wawrzyńca;9:5:1
Miodowa;9:6:9
Starowiślna;9:8:50
Hala Targowa;9:9:57
Rondo Grzegórzeckie;9:14:59
Rondo Mogilskie;9:18:16
Dworzec Główny Tunel;9:20:54
Politechnika;9:22:24
;
09:08 - 10 (Kurdwanów - Pleszów);
Plac Wolnica;9:8:1
Stradom;9:9:16
Wawel;9:11:42
Poczta Główna;9:14:17
Dworzec Główny;9:16:53
Lubicz;9:19:32
Rondo Mogilskie;9:23:3
Cystersów;9:25:20
;
09:08 - 4 (Wzgórza Krzesławickie  - Bronowice Małe);
Cystersów;9:8:1
Rondo Mogilskie;9:10:8
Lubicz;9:12:24
Dworzec Główny;9:14:34
Basztowa LOT;9:17:45
Teatr Bagatela;9:20:27
Batorego;9:22:39
Plac Inwalidów;9:23:53
Urzędnicza;9:25:39
;
09:13 - 9 (Mistrzejowice - Nowy Bieżanów);
Cystersów;9:13:1
Rondo Mogilskie;9:16:7
Rondo Grzegórzeckie;9:20:20
Hala Targowa;9:22:26
Starowiślna;9:23:37
Miodowa;9:26:3
;
09:05 - 14 (Bronowice - Mistrzejowice);
Urzędnicza;9:5:1
Plac Inwalidów;9:6:47
Batorego;9:8:5
Teatr Bagatela;9:9:39
Basztowa LOT;9:11:55
Dworzec Główny;9:13:54
Lubicz;9:16:0
Rondo Mogilskie;9:19:24
Rondo Grzegórzeckie;9:24:2
Teatr Variete;9:24:57
Francesco Nullo;9:26:4
;
09:17 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:17:1
Dworzec Główny;9:19:31
Dworzec Główny Zachód;9:21:44
Politechnika;9:23:8
;
09:19 - 49 (Nowy Bieżanów - TAURON Arena Kraków Wieczysta);
Cystersów;9:19:1
Rondo Mogilskie;9:22:41
;
09:10 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:10:1
Stradom;9:11:17
Wawel;9:13:42
Świętej Gertrudy;9:15:16
Plac Wszystkich Świętych;9:16:52
Filharmonia;9:18:9
Teatr Bagatela;9:20:52
Batorego;9:23:45
Plac Inwalidów;9:24:57
Urzędnicza;9:26:45
;
09:11 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:11:1
Plac Inwalidów;9:12:48
Batorego;9:14:7
Teatr Bagatela;9:15:41
Filharmonia;9:18:41
Plac Wszystkich Świętych;9:20:30
Świętej Gertrudy;9:22:14
Wawel;9:23:52
Plac Wolnica;9:27:2
;
09:12 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:12:1
Teatr Variete;9:13:24
Rondo Grzegórzeckie;9:16:30
Hala Targowa;9:18:37
Starowiślna;9:19:47
Poczta Główna;9:22:0
Plac Wszystkich Świętych;9:24:24
Filharmonia;9:25:43
Jubilat;9:27:51
;
09:11 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:11:1
Rondo Mogilskie;9:13:8
Lubicz;9:15:24
Dworzec Główny;9:17:24
Poczta Główna;9:20:20
Stradom;9:25:5
Orzeszkowej;9:26:50
Centrum Kongresowe ICE;9:28:40
;
09:17 - 2 (Salwator - Cmentarz Rakowicki);
Jubilat;9:17:1
Filharmonia;9:18:59
Teatr Bagatela;9:22:4
Basztowa LOT;9:24:32
Dworzec Główny;9:26:46
Lubicz;9:28:57
;
09:13 - 24 (Kurdwanów - Bronowice);
Świętego Wawrzyńca;9:13:1
Miodowa;9:14:10
Starowiślna;9:16:52
Poczta Główna;9:17:56
Dworzec Główny;9:20:27
Basztowa LOT;9:22:55
Teatr Bagatela;9:25:18
Batorego;9:27:33
Plac Inwalidów;9:28:46
Urzędnicza;9:30:30
;
09:14 - 13 (Bronowice Małe - Nowy Bieżanów);
Urzędnicza;9:14:1
Plac Inwalidów;9:15:48
Batorego;9:17:7
Teatr Bagatela;9:18:43
Filharmonia;9:21:29
Plac Wszystkich Świętych;9:23:19
Świętej Gertrudy;9:25:34
Wawel;9:27:14
Plac Wolnica;9:30:41
;
09:10 - 18 (Krowodrza Górka - Czerwone Maki);
Dworzec Towarowy;9:10:1
Nowy Kleparz;9:11:15
Pędzichów;9:12:53
Basztowa LOT;9:14:11
Teatr Bagatela;9:16:43
Filharmonia;9:19:37
Plac Wszystkich Świętych;9:22:17
Świętej Gertrudy;9:24:22
Wawel;9:26:0
Orzeszkowej;9:29:2
;
09:10 - 18 (Czerwone Maki - Krowodrza Górka);
Centrum Kongresowe ICE;9:10:1
Orzeszkowej;9:11:49
Stradom;9:12:55
Wawel;9:14:50
Świętej Gertrudy;9:16:23
Plac Wszystkich Świętych;9:17:59
Filharmonia;9:19:20
Teatr Bagatela;9:22:41
Basztowa LOT;9:25:9
Pędzichów;9:27:12
Nowy Kleparz;9:28:49
Dworzec Towarowy;9:30:58
;
09:13 - 52 (Czerwone Maki - Os.Piastów);
Centrum Kongresowe ICE;9:13:1
Orzeszkowej;9:14:49
Stradom;9:15:55
Starowiślna;9:19:49
Poczta Główna;9:20:55
Dworzec Główny;9:23:25
Lubicz;9:25:41
Rondo Mogilskie;9:29:3
Cystersów;9:31:21
;
09:14 - 13 (Nowy Bieżanów - Bronowice Małe);
Plac Wolnica;9:14:1
Stradom;9:15:16
Wawel;9:18:15
Świętej Gertrudy;9:19:52
Plac Wszystkich Świętych;9:21:29
Filharmonia;9:22:47
Teatr Bagatela;9:26:6
Batorego;9:28:24
Plac Inwalidów;9:29:36
Urzędnicza;9:31:25
;
09:23 - 3 (Krowodrza Górka - Nowy Bieżanów);
Dworzec Towarowy;9:23:2
Politechnika;9:26:2
Dworzec Główny Zachód;9:27:25
Dworzec Główny;9:28:36
Poczta Główna;9:32:8
;
09:24 - 3 (Nowy Bieżanów - Krowodrza Górka);
Poczta Główna;9:24:1
Dworzec Główny;9:26:35
Dworzec Główny Zachód;9:29:23
Politechnika;9:30:46
Dworzec Towarowy;9:33:9
;
09:15 - 22 (Borek Fałęcki - Kopiec Wandy);
Centrum Kongresowe ICE;9:15:1
Orzeszkowej;9:16:48
Stradom;9:17:54
Starowiślna;9:22:6
Hala Targowa;9:23:17
Rondo Grzegórzeckie;9:31:37
Teatr Variete;9:32:32
Francesco Nullo;9:33:39
;
09:16 - 4 (Bronowice Małe - Wzgórza Krzesławickie);
Urzędnicza;9:16:1
Plac Inwalidów;9:17:48
Batorego;9:19:11
Teatr Bagatela;9:20:47
Basztowa LOT;9:23:32
Dworzec Główny;9:25:36
Lubicz;9:28:22
Rondo Mogilskie;9:31:45
Cystersów;9:34:1
;
09:13 - 1 (Salwator - Wzgórza Krzesławickie);
Jubilat;9:13:1
Filharmonia;9:14:56
Plac Wszystkich Świętych;9:16:40
Poczta Główna;9:18:29
Starowiślna;9:21:41
Hala Targowa;9:22:49
Rondo Grzegórzeckie;9:32:12
Teatr Variete;9:33:7
;
09:19 - 1 (Wzgórza Krzesławickie - Salwator);
Francesco Nullo;9:19:1
Teatr Variete;9:20:26
Rondo Grzegórzeckie;9:22:36
Hala Targowa;9:24:45
Starowiślna;9:25:56
Poczta Główna;9:28:12
Plac Wszystkich Świętych;9:30:57
Filharmonia;9:32:15
Jubilat;9:34:23
;
09:18 - 8 (Bronowice Małe - Borek Fałęcki);
Urzędnicza;9:18:1
Plac Inwalidów;9:19:53
Batorego;9:21:13
Teatr Bagatela;9:22:49
Filharmonia;9:25:38
Plac Wszystkich Świętych;9:28:6
Świętej Gertrudy;9:29:49
Wawel;9:31:29
Plac Wolnica;9:34:36
;
09:18 - 8 (Borek Fałęcki - Bronowice Małe);
Plac Wolnica;9:18:1
Stradom;9:19:21
Wawel;9:21:48
Świętej Gertrudy;9:23:26
Plac Wszystkich Świętych;9:25:32
Filharmonia;9:26:52
Teatr Bagatela;9:29:40
Batorego;9:32:1
Plac Inwalidów;9:33:12
Urzędnicza;9:34:59
;
09:15 - 14 (Mistrzejowice - Bronowice);
Francesco Nullo;9:15:1
Teatr Variete;9:16:24
Rondo Grzegórzeckie;9:18:21
Rondo Mogilskie;9:20:52
Lubicz;9:23:21
Dworzec Główny;9:25:27
Basztowa LOT;9:27:39
Teatr Bagatela;9:30:12
Batorego;9:32:33
Plac Inwalidów;9:33:45
Urzędnicza;9:35:32
;
09:18 - 52 (Os.Piastów - Czerwone Maki);
Cystersów;9:18:1
Rondo Mogilskie;9:20:13
Lubicz;9:22:31
Dworzec Główny;9:24:36
Poczta Główna;9:27:16
Stradom;9:31:50
Orzeszkowej;9:33:46
Centrum Kongresowe ICE;9:35:39
;
09:23 - 22 (Kopiec Wandy - Borek Fałęcki);
Francesco Nullo;9:23:2
Teatr Variete;9:24:27
Rondo Grzegórzeckie;9:27:31
